buy_date,sell_date,symbol,buy_price,sell_price,profit,status
2024-08-05,2024-08-09,NWSA,25.51,27.1,0.062,Successful
2024-08-05,2024-08-09,PAA,16.9,17.59,0.041,Successful
2024-08-05,2024-08-09,PAGP,17.85,18.67,0.046,Successful
2024-08-05,2024-08-09,PCVX,72.28,73.68,0.019,Successful
2024-08-05,2024-08-09,PRU,106.95,108.79,0.017,Successful
2024-08-05,2024-08-09,STX,90.59,95.21,0.051,Successful
2024-08-05,2024-08-09,SYF,42.81,46.17,0.078,Successful
2024-08-05,2024-08-09,TXN,181.84,191.02,0.05,Successful
2024-08-05,2024-08-12,CARG,22.19,27.1,0.221,Successful
2024-08-05,2024-08-12,LNC,28.81,29.59,0.027,Successful
2024-08-05,2024-08-12,PGRE,4.58,4.74,0.035,Successful
2024-08-05,2024-08-13,CHX,30.38,30.78,0.013,Successful
2024-08-05,2024-08-14,EMR,105.93,102.5,-0.032,Unsuccessful
2024-08-05,2024-08-14,ING,16.45,16.89,0.027,Successful
2024-08-05,2024-08-15,EXK,2.91,2.91,0.0,Successful
2024-08-02,2024-08-09,SAN,4.43,4.45,0.005,Successful
2024-08-02,2024-08-12,APO,110.11,104.2,-0.054,Unsuccessful
2024-08-02,2024-08-13,RBLX,37.68,38.45,0.02,Successful
2024-08-02,2024-08-15,EXK,3.53,2.91,-0.176,Unsuccessful
2024-07-25,2024-07-30,NXPI,246.77,258.46,0.047,Successful
2024-07-25,2024-08-01,ETN,290.61,290.04,-0.002,Unsuccessful
2024-07-22,2024-07-31,CRWD,285.01,234.67,-0.177,Unsuccessful
2024-07-19,2024-07-23,LRCX,924.02,963.76,0.043,Successful
2024-07-19,2024-07-31,CRWD,294.51,234.67,-0.203,Unsuccessful
2024-07-18,2024-07-23,AMAT,213.47,220.45,0.033,Successful
2024-07-18,2024-07-23,LRCX,938.65,963.76,0.027,Successful
2024-07-18,2024-07-23,PSTG,58.81,61.06,0.038,Successful
2024-07-18,2024-07-23,VST,73.91,79.14,0.071,Successful
2024-07-18,2024-07-24,AMZN,182.29,183.2,0.005,Successful
2024-07-18,2024-07-31,CRWD,344.29,234.67,-0.318,Unsuccessful
2024-06-28,2024-07-09,SKX,67.0,67.72,0.011,Successful
2024-06-20,2024-07-03,BALL,60.39,59.63,-0.013,Unsuccessful
2024-06-18,2024-06-24,FUTU,66.98,67.43,0.007,Successful
2024-06-17,2024-06-25,EQT,38.16,38.16,0.0,Successful
2024-06-17,2024-06-25,ETRN,13.37,13.45,0.006,Successful
2024-06-14,2024-06-18,ING,16.21,17.13,0.057,Successful
2024-06-14,2024-06-28,SAN,4.59,4.58,-0.002,Unsuccessful
2024-06-11,2024-06-18,CTVA,50.16,52.28,0.042,Successful
2024-06-07,2024-06-11,KKR,96.51,108.45,0.124,Successful
2024-05-29,2024-06-03,DAL,48.77,51.45,0.055,Successful
2024-05-01,2024-05-07,PSX,138.91,145.48,0.047,Successful
2024-04-30,2024-05-03,QRTEA,0.86,0.95,0.105,Successful
2024-04-29,2024-05-03,QRTEA,0.87,0.95,0.092,Successful
2024-04-25,2024-05-03,JBLU,5.73,5.86,0.022,Successful
2024-04-24,2024-04-29,SPR,31.17,32.39,0.039,Successful
2024-04-24,2024-05-03,JBLU,5.92,5.86,-0.011,Unsuccessful
2024-04-19,2024-04-24,AMAT,188.49,197.99,0.05,Successful
2024-04-19,2024-04-24,ASX,10.04,10.46,0.042,Successful
2024-04-19,2024-04-24,AVGO,1221.22,1263.9,0.035,Successful
2024-04-19,2024-04-24,LRCX,862.25,907.34,0.052,Successful
2024-04-19,2024-04-24,QCOM,156.6,163.87,0.046,Successful
2024-04-19,2024-04-24,TSM,128.3,136.09,0.061,Successful
2024-04-19,2024-04-30,VSTM,9.92,9.67,-0.025,Unsuccessful
2024-04-18,2024-04-23,THC,93.12,95.6,0.027,Successful
2024-04-18,2024-04-24,AMAT,193.89,197.99,0.021,Successful
2024-04-18,2024-04-24,LRCX,884.89,907.34,0.025,Successful
2024-04-15,2024-04-24,ANET,263.08,256.79,-0.024,Unsuccessful
2024-03-28,2024-04-08,EPIX,8.3,8.5,0.024,Successful
2024-03-21,2024-04-01,MGNI,10.39,10.76,0.036,Successful
2024-03-07,2024-03-13,JWN,17.01,17.8,0.046,Successful
2024-03-04,2024-03-15,SNOW,181.12,158.78,-0.123,Unsuccessful
2024-02-20,2024-02-26,ADBE,530.26,556.56,0.05,Successful
2024-02-13,2024-02-26,DT,50.7,50.25,-0.009,Unsuccessful
2024-02-02,2024-02-08,IP,33.33,33.98,0.02,Successful
2024-02-02,2024-02-12,VLY,8.69,8.46,-0.026,Unsuccessful
2024-02-01,2024-02-12,VLY,9.33,8.46,-0.093,Unsuccessful
2024-01-30,2024-02-07,PDD,125.05,124.07,-0.008,Unsuccessful
2024-01-24,2024-01-31,DHI,138.84,142.61,0.027,Successful
2024-01-17,2024-01-22,FCX,37.73,38.09,0.01,Successful
2024-01-09,2024-01-11,SPR,27.35,29.31,0.072,Successful
2024-01-04,2024-01-09,MCHP,82.03,84.31,0.028,Successful
2024-01-04,2024-01-18,STM,44.82,43.95,-0.019,Unsuccessful
2024-01-03,2024-01-08,SNOW,183.45,190.77,0.04,Successful
2024-01-03,2024-01-09,MCHP,83.96,84.31,0.004,Successful
2023-12-18,2023-12-20,MPAA,8.04,8.33,0.036,Successful
2023-12-15,2023-12-22,CAH,99.61,101.56,0.02,Successful
2023-12-11,2023-12-20,MPAA,9.07,8.33,-0.082,Unsuccessful
2023-12-06,2023-12-14,EQT,37.21,37.63,0.011,Successful
2023-12-06,2023-12-14,LBRT,18.39,18.34,-0.003,Unsuccessful
2023-12-05,2023-12-08,NTES,101.05,104.8,0.037,Successful
2023-12-04,2023-12-08,NTES,106.1,104.8,-0.012,Unsuccessful
2023-12-01,2023-12-11,PSTG,32.31,33.06,0.023,Successful
2023-11-08,2023-11-14,PR,13.23,13.5,0.02,Successful
2023-11-08,2023-11-15,MRO,24.76,25.58,0.033,Successful
2023-10-26,2023-11-02,GOOG,122.87,129.56,0.054,Successful
2023-10-26,2023-11-02,GOOGL,121.84,128.42,0.054,Successful
2023-10-26,2023-11-03,WU,12.54,11.8,-0.059,Unsuccessful
2023-10-23,2023-11-03,RIG,6.95,6.92,-0.004,Unsuccessful
2023-10-20,2023-11-02,TSLA,213.51,212.97,-0.003,Unsuccessful
2023-10-05,2023-10-09,FUTU,52.84,56.79,0.075,Successful
2023-10-04,2023-10-09,EQNR,30.59,32.75,0.071,Successful
2023-10-04,2023-10-09,NXE,5.43,5.73,0.055,Successful
2023-10-04,2023-10-09,PBR,13.87,14.46,0.043,Successful
2023-10-04,2023-10-10,MPC,142.85,145.62,0.019,Successful
2023-10-04,2023-10-10,PAGP,14.84,15.45,0.041,Successful
2023-10-04,2023-10-10,PSX,112.16,110.86,-0.012,Unsuccessful
2023-10-04,2023-10-11,TEVA,9.31,9.24,-0.008,Unsuccessful
2023-10-04,2023-10-11,VLO,129.57,128.99,-0.004,Unsuccessful
2023-10-03,2023-10-06,PCVX,47.57,48.45,0.018,Successful
2023-10-03,2023-10-11,VLO,133.95,128.99,-0.037,Unsuccessful
2023-09-29,2023-10-09,VSTM,8.07,7.94,-0.016,Unsuccessful
2023-09-28,2023-10-09,VSTM,8.51,7.94,-0.067,Unsuccessful
2023-09-27,2023-10-09,VSTM,8.68,7.94,-0.085,Unsuccessful
2023-09-25,2023-09-29,CCL,13.55,14.65,0.081,Successful
2023-09-25,2023-09-29,CUK,12.27,13.1,0.068,Successful
2023-09-25,2023-09-29,VNO,21.75,23.05,0.06,Successful
2023-09-22,2023-09-28,KMX,76.53,70.39,-0.08,Unsuccessful
2023-09-22,2023-09-28,OPEN,2.47,2.52,0.02,Successful
2023-09-22,2023-09-28,RCL,91.49,91.47,0.0,Successful
2023-09-22,2023-09-29,VNO,22.25,23.05,0.036,Successful
2023-09-21,2023-09-29,ABR,15.02,15.34,0.021,Successful
2023-09-07,2023-09-12,ASAN,18.23,19.77,0.084,Successful
2023-08-18,2023-08-22,META,276.54,292.55,0.058,Successful
2023-08-18,2023-08-28,STNE,11.96,12.2,0.02,Successful
2023-08-11,2023-08-15,MRVL,57.16,59.36,0.038,Successful
2023-08-10,2023-08-23,MGNI,10.01,8.2,-0.181,Unsuccessful
2023-08-09,2023-08-17,DDOG,85.4,90.05,0.054,Successful
2023-08-09,2023-08-22,OWL,11.64,11.17,-0.04,Unsuccessful
2023-08-08,2023-08-14,PANW,208.78,218.44,0.046,Successful
2023-08-04,2023-08-10,GT,12.81,13.36,0.043,Successful
2023-08-03,2023-08-08,CG,31.92,32.5,0.018,Successful
2023-08-03,2023-08-11,DXC,20.7,20.08,-0.03,Unsuccessful
2023-08-03,2023-08-15,NCLH,18.08,17.71,-0.02,Unsuccessful
2023-08-03,2023-08-17,BWA,41.69,39.93,-0.042,Unsuccessful
2023-08-02,2023-08-09,HMY,3.94,3.91,-0.008,Unsuccessful
2023-08-02,2023-08-15,NCLH,18.75,17.71,-0.055,Unsuccessful
2023-07-27,2023-07-31,IMUX,2.11,2.39,0.133,Successful
2023-07-27,2023-08-01,SNAP,10.41,11.26,0.082,Successful
2023-07-25,2023-07-27,RCM,15.97,16.72,0.047,Successful
2023-07-25,2023-07-31,AAL,16.37,16.85,0.029,Successful
2023-07-06,2023-07-11,WYNN,98.7,108.1,0.095,Successful
2023-06-21,2023-06-30,HMY,4.13,4.11,-0.005,Unsuccessful
2023-06-06,2023-06-14,CLSK,3.78,3.89,0.029,Successful
2023-05-30,2023-06-05,KR,45.89,45.99,0.002,Successful
2023-05-25,2023-06-01,EW,81.32,84.06,0.034,Successful
2023-05-25,2023-06-01,TECK,37.72,39.7,0.052,Successful
2023-05-25,2023-06-02,KGC,4.73,4.89,0.034,Successful
2023-05-24,2023-06-01,TECK,39.16,39.7,0.014,Successful
2023-05-24,2023-06-02,XRAY,36.91,37.65,0.02,Successful
2023-05-19,2023-06-01,ARDX,3.53,3.33,-0.057,Unsuccessful
2023-05-19,2023-06-02,SOBR,1.78,1.75,-0.017,Unsuccessful
2023-05-18,2023-06-01,ARDX,3.81,3.33,-0.126,Unsuccessful
2023-05-11,2023-05-24,EXK,3.5,3.28,-0.063,Unsuccessful
2023-05-09,2023-05-11,ARDX,4.06,4.36,0.074,Successful
2023-05-04,2023-05-08,HES,131.25,139.36,0.062,Successful
2023-05-04,2023-05-09,BWA,44.53,44.71,0.004,Successful
2023-04-27,2023-05-02,ADI,175.24,184.44,0.052,Successful
2023-04-26,2023-05-01,RIG,5.69,5.78,0.016,Successful
2023-04-20,2023-04-28,HPE,14.51,14.21,-0.021,Unsuccessful
2023-04-20,2023-05-03,JNPR,30.81,29.24,-0.051,Unsuccessful
2023-04-04,2023-04-13,DHT,9.31,9.63,0.034,Successful
2023-03-23,2023-03-29,MO,43.8,44.63,0.019,Successful
2023-03-16,2023-03-17,CPRX,13.91,15.65,0.125,Successful
2023-03-16,2023-03-17,ET,11.58,12.23,0.056,Successful
2023-03-16,2023-03-21,DHT,10.57,11.21,0.061,Successful
2023-03-16,2023-03-21,NUE,140.0,151.03,0.079,Successful
2023-03-16,2023-03-22,BP,34.4,36.87,0.072,Successful
2023-03-16,2023-03-22,PAA,11.42,12.12,0.061,Successful
2023-03-16,2023-03-22,PAGP,11.88,12.81,0.078,Successful
2023-03-16,2023-03-22,PR,9.11,10.17,0.116,Successful
2023-03-16,2023-03-22,TTE,55.55,58.69,0.057,Successful
2023-03-15,2023-03-22,UAL,44.66,44.14,-0.012,Unsuccessful
2023-03-14,2023-03-24,PTON,11.03,9.16,-0.17,Unsuccessful
2023-03-13,2023-03-15,APTV,107.75,108.95,0.011,Successful
2023-03-13,2023-03-15,UBER,30.18,31.83,0.055,Successful
2023-03-13,2023-03-17,RCL,64.82,64.35,-0.007,Unsuccessful
2023-03-13,2023-03-21,HES,125.74,124.9,-0.007,Unsuccessful
2023-03-13,2023-03-21,LYB,86.26,89.22,0.034,Successful
2023-03-13,2023-03-21,MAR,159.59,164.97,0.034,Successful
2023-03-13,2023-03-21,UNM,38.98,39.78,0.021,Successful
2023-03-13,2023-03-22,AEG,4.63,4.34,-0.063,Unsuccessful
2023-03-13,2023-03-22,APO,58.48,60.55,0.035,Successful
2023-03-13,2023-03-22,BWA,46.5,47.37,0.019,Successful
2023-03-13,2023-03-22,CNHI,14.97,14.73,-0.016,Unsuccessful
2023-03-13,2023-03-22,FNB,12.05,12.29,0.02,Successful
2023-03-13,2023-03-22,GNW,5.56,5.07,-0.088,Unsuccessful
2023-03-13,2023-03-22,ING,12.31,12.06,-0.02,Unsuccessful
2023-03-13,2023-03-22,TPX,38.09,38.71,0.016,Successful
2023-03-13,2023-03-24,PTON,11.43,9.16,-0.199,Unsuccessful
2023-03-10,2023-03-15,PCVX,37.3,38.75,0.039,Successful
2023-03-10,2023-03-15,THC,53.28,52.63,-0.012,Unsuccessful
2023-03-10,2023-03-17,CG,32.17,30.38,-0.056,Unsuccessful
2023-03-10,2023-03-17,RCL,66.2,64.35,-0.028,Unsuccessful
2023-03-10,2023-03-17,SPLK,91.63,89.11,-0.028,Unsuccessful
2023-03-10,2023-03-21,LYB,88.43,89.22,0.009,Successful
2023-03-10,2023-03-21,SPR,31.04,31.39,0.011,Successful
2023-03-10,2023-03-22,APO,65.35,60.55,-0.073,Unsuccessful
2023-03-10,2023-03-22,CCL,9.69,9.15,-0.056,Unsuccessful
2023-03-10,2023-03-22,CUK,8.79,8.28,-0.058,Unsuccessful
2023-03-10,2023-03-22,DT,39.28,39.08,-0.005,Unsuccessful
2023-03-10,2023-03-22,FNB,12.51,12.29,-0.018,Unsuccessful
2023-03-09,2023-03-22,AIG,55.63,51.03,-0.083,Unsuccessful
2023-03-09,2023-03-22,FNB,13.16,12.29,-0.066,Unsuccessful
2023-02-24,2023-03-01,FCX,39.36,42.6,0.082,Successful
2023-02-24,2023-03-02,RIO,69.27,72.34,0.044,Successful
2023-02-22,2023-02-24,PR,9.04,10.57,0.169,Successful
2023-02-22,2023-02-28,PDD,81.97,85.99,0.049,Successful
2023-02-16,2023-02-28,HL,4.97,5.1,0.026,Successful
2023-02-14,2023-02-21,GERN,2.62,2.76,0.053,Successful
2023-02-09,2023-02-22,ARMK,38.71,37.49,-0.032,Unsuccessful
2023-02-09,2023-02-23,CPRI,49.19,50.0,0.016,Successful
2023-02-08,2023-02-22,ARMK,39.21,37.49,-0.044,Unsuccessful
2023-02-03,2023-02-08,COP,107.96,112.23,0.04,Successful
2023-02-03,2023-02-08,SNY,45.82,47.7,0.041,Successful
2023-01-12,2023-01-17,PCVX,41.4,44.05,0.064,Successful
2023-01-04,2023-01-05,BTU,24.35,26.27,0.079,Successful
2022-12-28,2023-01-11,ENPH,266.3,229.22,-0.139,Unsuccessful
2022-12-16,2022-12-22,NUE,130.08,136.96,0.053,Successful
2022-12-14,2022-12-22,UAL,39.93,38.78,-0.029,Unsuccessful
2022-12-12,2022-12-23,MMAT,1.35,1.12,-0.17,Unsuccessful
2022-12-06,2022-12-13,MPC,109.08,112.8,0.034,Successful
2022-12-06,2022-12-13,XOM,103.64,107.8,0.04,Successful
2022-12-05,2022-12-13,CRK,16.04,15.69,-0.022,Unsuccessful
2022-12-05,2022-12-13,VLO,123.26,122.93,-0.003,Unsuccessful
2022-12-02,2022-12-12,STEM,11.44,10.52,-0.08,Unsuccessful
2022-11-15,2022-11-29,ESPR,7.22,6.6,-0.086,Unsuccessful
2022-11-14,2022-11-23,MPAA,15.84,13.74,-0.133,Unsuccessful
2022-11-11,2022-11-18,UNM,41.21,41.19,0.0,Successful
2022-10-12,2022-10-18,PDD,55.71,57.97,0.041,Successful
2022-08-31,2022-09-07,CTAS,409.7,415.1,0.013,Successful
2022-08-31,2022-09-12,AZN,62.72,61.65,-0.017,Unsuccessful
2022-08-29,2022-09-02,AMGN,238.84,246.48,0.032,Successful
2022-08-24,2022-09-08,ATVI,79.34,77.62,-0.022,Unsuccessful
2022-08-02,2022-08-08,VRTX,273.83,288.65,0.054,Successful
2022-07-27,2022-07-29,DLTR,157.82,162.16,0.027,Successful
2022-06-14,2022-06-21,TMUS,124.62,129.46,0.039,Successful
2022-06-14,2022-06-16,VRTX,245.39,248.49,0.013,Successful
2022-06-13,2022-06-16,VRTX,250.81,248.49,-0.009,Unsuccessful
2022-06-13,2022-06-17,AZN,60.43,61.21,0.013,Successful
2022-06-10,2022-06-17,AZN,61.29,61.21,-0.001,Unsuccessful
2022-05-20,2022-05-26,DLTR,135.43,159.81,0.18,Successful
2022-05-19,2022-05-26,DLTR,132.51,159.81,0.206,Successful
2022-05-12,2022-05-16,AZN,60.51,63.35,0.047,Successful
2022-05-03,2022-05-05,PEP,167.76,173.1,0.032,Successful
2022-05-03,2022-05-05,AMGN,230.92,235.5,0.02,Successful
2022-05-02,2022-05-05,COST,531.72,541.57,0.019,Successful
2022-05-02,2022-05-05,AMGN,233.19,235.5,0.01,Successful
2022-04-29,2022-05-05,AMGN,236.5,235.5,-0.004,Unsuccessful
2022-04-27,2022-04-29,AVGO,555.79,572.62,0.03,Successful
2022-04-27,2022-05-03,ATVI,76.82,78.5,0.022,Successful
2022-04-25,2022-04-28,TMUS,128.63,131.04,0.019,Successful
2022-04-25,2022-04-29,PAYX,131.35,131.99,0.005,Successful
2022-04-06,2022-04-11,CTSH,85.99,88.61,0.03,Successful
2022-04-04,2022-04-05,ORLY,667.43,682.82,0.023,Successful
2022-03-15,2022-03-23,ATVI,79.43,79.15,-0.004,Unsuccessful
2022-02-24,2022-02-28,AAPL,152.58,163.06,0.069,Successful
2022-02-24,2022-02-25,COST,483.27,508.58,0.052,Successful
2022-01-28,2022-02-01,TSLA,276.37,311.74,0.128,Successful
2022-01-27,2022-01-31,PEP,169.53,170.77,0.007,Successful
2022-01-26,2022-01-31,PEP,169.36,170.77,0.008,Successful
2022-01-26,2022-02-03,WBA,50.99,50.55,-0.009,Unsuccessful
2022-01-20,2022-02-01,AMAT,143.07,138.23,-0.034,Unsuccessful
2022-01-20,2022-02-01,NXPI,208.0,208.99,0.005,Successful
2022-01-19,2022-01-31,CSX,35.25,33.89,-0.039,Unsuccessful
2022-01-19,2022-01-26,MAR,159.51,158.04,-0.009,Unsuccessful
2022-01-18,2022-01-25,DLTR,129.72,130.48,0.006,Successful
2022-01-14,2022-01-18,MRVL,77.82,80.3,0.032,Successful
2022-01-11,2022-01-25,COST,518.8,479.9,-0.075,Unsuccessful
2022-01-07,2022-01-12,ANSS,367.76,369.74,0.005,Successful
2022-01-06,2022-01-11,GOOG,137.5,138.18,0.005,Successful
2022-01-06,2022-01-11,GOOGL,137.0,138.01,0.007,Successful
2022-01-06,2022-01-12,CTAS,405.97,409.32,0.008,Successful
2022-01-06,2022-01-12,DDOG,145.52,150.38,0.033,Successful
2022-01-06,2022-01-11,ZS,261.0,270.45,0.036,Successful
2022-01-06,2022-01-12,ANSS,366.85,369.74,0.008,Successful
2021-12-21,2021-12-23,INTU,604.63,631.66,0.045,Successful
2021-12-21,2021-12-23,ODFL,333.85,344.96,0.033,Successful
2021-12-20,2021-12-22,ADI,166.84,171.65,0.029,Successful
2021-12-20,2021-12-23,ODFL,335.57,344.96,0.028,Successful
2021-12-17,2021-12-22,ADI,171.12,171.65,0.003,Successful
2021-12-14,2021-12-16,NVDA,276.99,311.52,0.125,Successful
2021-12-10,2021-12-15,LCID,36.52,39.37,0.078,Successful
2021-12-06,2021-12-08,MSFT,323.01,335.31,0.038,Successful
2021-12-02,2021-12-08,FTNT,61.05,63.45,0.039,Successful
2021-12-02,2021-12-08,DDOG,159.6,177.59,0.113,Successful
2021-12-02,2021-12-09,ZS,318.21,313.0,-0.016,Unsuccessful
2021-12-01,2021-12-03,CTAS,422.19,432.96,0.026,Successful
2021-12-01,2021-12-03,PAYX,119.2,120.74,0.013,Successful
2021-12-01,2021-12-03,CTSH,77.98,79.88,0.024,Successful
2021-11-30,2021-12-08,EBAY,70.33,67.33,-0.043,Unsuccessful
2021-11-29,2021-12-03,ALGN,634.22,629.36,-0.008,Unsuccessful
2021-11-24,2021-12-03,ISRG,335.45,329.2,-0.019,Unsuccessful
2021-11-24,2021-12-08,DXCM,147.5,140.0,-0.051,Unsuccessful
2021-11-23,2021-12-03,ISRG,340.72,329.2,-0.034,Unsuccessful
2021-11-17,2021-12-02,AZN,57.63,55.04,-0.045,Unsuccessful
2021-10-12,2021-10-15,CHTR,690.6,706.03,0.022,Successful
2021-10-11,2021-10-15,CHTR,700.0,706.03,0.009,Successful
2021-10-05,2021-10-08,GILD,67.45,68.05,0.009,Successful
2021-10-04,2021-10-08,GILD,68.2,68.05,-0.002,Unsuccessful
2021-09-30,2021-10-04,GOOG,134.32,135.7,0.01,Successful
2021-09-30,2021-10-04,GOOGL,134.26,135.96,0.013,Successful
2021-09-30,2021-10-08,NXPI,198.75,194.51,-0.021,Unsuccessful
2021-09-30,2021-10-06,EBAY,69.97,69.31,-0.009,Unsuccessful
2021-09-30,2021-10-08,ALGN,673.06,663.97,-0.014,Unsuccessful
2021-09-29,2021-10-04,MSFT,283.52,287.4,0.014,Successful
2021-09-29,2021-10-04,GOOG,136.18,135.7,-0.004,Unsuccessful
2021-09-29,2021-10-04,GOOGL,135.83,135.96,0.001,Successful
2021-09-29,2021-10-06,NVDA,206.99,201.2,-0.028,Unsuccessful
2021-09-29,2021-10-06,PEP,151.05,150.84,-0.001,Unsuccessful
2021-09-29,2021-10-08,SNPS,301.93,299.15,-0.009,Unsuccessful
2021-09-29,2021-10-04,CTAS,386.07,389.99,0.01,Successful
2021-09-29,2021-10-04,ZS,258.74,261.35,0.01,Successful
2021-09-29,2021-10-08,ALGN,677.32,663.97,-0.02,Unsuccessful
2021-09-23,2021-09-27,META,343.21,349.81,0.019,Successful
2021-09-22,2021-09-24,AMZN,167.18,170.1,0.017,Successful
2021-09-22,2021-09-24,SNPS,317.9,320.59,0.008,Successful
2021-09-21,2021-09-24,AMZN,167.79,170.1,0.014,Successful
2021-09-21,2021-09-23,GOOG,139.02,141.61,0.019,Successful
2021-09-21,2021-09-23,GOOGL,138.72,140.99,0.016,Successful
2021-09-21,2021-09-27,META,355.7,349.81,-0.017,Unsuccessful
2021-09-21,2021-09-23,NVDA,211.13,221.4,0.049,Successful
2021-09-21,2021-09-24,PYPL,269.91,276.02,0.023,Successful
2021-09-21,2021-09-24,SNPS,321.3,320.59,-0.002,Unsuccessful
2021-09-20,2021-09-23,GOOG,139.0,141.61,0.019,Successful
2021-09-20,2021-09-27,META,359.3,349.81,-0.026,Unsuccessful
2021-09-20,2021-09-24,SNPS,321.67,320.59,-0.003,Unsuccessful
2021-09-15,2021-09-29,CHTR,761.5,729.52,-0.042,Unsuccessful
2021-09-10,2021-09-16,AZN,56.29,56.47,0.003,Successful
2021-09-09,2021-09-16,AZN,57.02,56.47,-0.01,Unsuccessful
2021-09-08,2021-09-14,HON,222.75,224.05,0.006,Successful
2021-09-08,2021-09-22,PAYX,111.16,108.5,-0.024,Unsuccessful
2021-09-03,2021-09-09,ORLY,578.82,592.05,0.023,Successful
2021-09-01,2021-09-16,CSX,32.53,30.99,-0.047,Unsuccessful
2021-08-27,2021-09-13,ADSK,310.19,284.51,-0.083,Unsuccessful
2021-08-19,2021-08-24,AVGO,466.35,482.4,0.034,Successful
2021-08-19,2021-08-24,TXN,182.75,187.92,0.028,Successful
2021-08-13,2021-08-20,AMAT,129.13,130.38,0.01,Successful
2021-08-13,2021-08-24,LRCX,583.25,586.92,0.006,Successful
2021-08-05,2021-08-11,MDLZ,61.72,62.12,0.006,Successful
2021-08-03,2021-08-06,AMZN,166.57,168.75,0.013,Successful
2021-08-03,2021-08-06,PYPL,270.99,280.0,0.033,Successful
2021-08-03,2021-08-12,KDP,34.39,34.66,0.008,Successful
2021-08-02,2021-08-06,AMZN,166.38,168.75,0.014,Successful
2021-08-02,2021-08-06,PYPL,275.53,280.0,0.016,Successful
2021-07-30,2021-08-06,PYPL,280.24,280.0,-0.001,Unsuccessful
2021-07-29,2021-08-09,VRSN,215.76,214.37,-0.006,Unsuccessful
2021-07-28,2021-08-09,VRSN,218.93,214.37,-0.021,Unsuccessful
2021-07-26,2021-08-09,VRSN,221.1,214.37,-0.03,Unsuccessful
2021-07-20,2021-07-21,META,336.95,341.5,0.014,Successful
2021-07-20,2021-07-21,ADSK,287.31,294.82,0.026,Successful
2021-07-20,2021-07-22,ODFL,250.15,255.27,0.02,Successful
2021-07-19,2021-07-22,NVDA,179.15,196.42,0.096,Successful
2021-07-19,2021-07-21,TXN,184.28,188.45,0.023,Successful
2021-07-19,2021-07-21,AMAT,125.19,132.82,0.061,Successful
2021-07-19,2021-07-21,NXPI,187.56,193.0,0.029,Successful
2021-07-19,2021-07-21,MRVL,53.35,56.61,0.061,Successful
2021-07-19,2021-07-21,AZN,56.44,57.91,0.026,Successful
2021-07-19,2021-07-22,ROST,117.58,121.71,0.035,Successful
2021-07-16,2021-07-21,AZN,56.79,57.91,0.02,Successful
2021-07-06,2021-07-13,WBA,48.03,47.58,-0.009,Unsuccessful
2021-07-02,2021-07-13,WBA,48.71,47.58,-0.023,Unsuccessful
2021-06-29,2021-07-02,MAR,135.87,139.75,0.029,Successful
2021-06-21,2021-06-24,AMAT,131.19,137.0,0.044,Successful
2021-06-21,2021-06-25,ATVI,91.49,92.64,0.013,Successful
2021-06-21,2021-06-24,LRCX,612.66,633.81,0.035,Successful
